"Year","Country","CostOfLiving","Rent","LocalPurchasingPower","GrossRentalYieldCityCentre","GrossRentalYieldOutsideOfCentre","MortgageAsAPercentageOfIncome","Crime","HealthCare","Pollution","Traffic","Time","CO2Emission","Continent"
2015,"United States",76.53,36.17,126.09,11.16,12.92,19.43,50.01,67.75,31.45,158.47,35.96,6813.52,"North America"
2015,"Germany",76.27,27.16,111.84,4.01,4.45,44.27,28.49,75.61,28.32,98.41,31.08,1914.97,"Europe"
2015,"Hong Kong",75.23,81.09,74.93,2.67,2.77,192.99,19.24,80.6,59.5,171.92,46.25,2315.62,"Asia"
2015,"Qatar",74,76.31,113.02,8.8,7.48,51.69,21.04,75.86,87.73,132.56,29.27,7121.82,"Asia"
2015,"Puerto Rico",73.5,19.7,94.43,5.74,6.26,36.02,67.06,58.74,48.03,139.58,32,6738.67,"North America"
2015,"Cyprus",72.52,16.2,71.05,4.28,4.28,63.99,31.56,78.36,32.88,73.72,19,1980.22,"Asia"
2015,"Greece",68.88,11.92,51.89,3.57,3.54,75.32,41.35,56.73,44.87,128.78,33.18,4284.16,"Europe"
2015,"Uruguay",68.55,21.8,44.87,5.59,5.92,108.51,47.17,67.92,31.72,147.57,45,960,"South America"
2015,"Lebanon",67.61,31.68,50.17,4,5.73,143.71,51.98,65.78,89.11,148.72,32.43,7790,"Asia"
2015,"United Arab Emirates",67.16,66.86,104.59,8.76,9.75,49.9,22.22,55.6,61.34,128.27,29.9,5722.57,"Asia"
